"Interrogation Site Code","Interrogation Site Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Data Steward Name","Steward Email","Steward Phone","Steward Organization","New Metric"
"LMR","Lower Methow River at Pateros","3/1/2009","","1","Instream Remote Detection System","17020008","Methow","8/18/2017","","48.074923","-119.956143","843.008","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","1"
"LMT","Lower Mainstem Teanaway River","5/1/2010","","1","Instream Remote Detection System","17030001","Upper Yakima","5/1/2010","10/15/2018","47.170655","-120.834851","539.284.000","Zack Mays","zack_mays@yakama.com","","YINN","1"
"LMT","Lower Mainstem Teanaway River","5/1/2010","","1","Instream Remote Detection System","17030001","Upper Yakima","10/15/2018","","47.174326","-120.836400","539.284.000","Zack Mays","zack_mays@yakama.com","","YINN","1"
"LNF","Leavenworth NFH Adult Ladder","5/15/2012","","1","Hatchery Returns","17020011","Wenatchee","5/15/2012","","47.558465","-120.672248","754.041.005","Matt Cooper","Matt_cooper@fws.gov","509-548-7573","USFWS","1"
"LNR","Lower Naches River","11/6/2016","5/30/2020","0","Instream Remote Detection System","17030002","Naches","11/6/2016","5/30/2020","46.631484","-120.578716","539.187.005","Zack Mays","zack_mays@yakama.com","","YINN","1"
"LOP","Lostine River Acc. Pond","1/1/2002","4/24/2014","0","Monitored Fish Release","17060105","Wallowa","1/1/2002","4/24/2014","45.420648","-117.425588","522.271.131.042.021","Shane Vatland","shanev@nezperce.org","541-432-2508","NPT","1"
"LOR","Lost River at rkm 0.81","3/22/2013","8/18/2017","0","Instream Remote Detection System","17020008","Methow","3/22/2013","8/18/2017","48.655382","-120.505688","843.122.001","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"LRH","Lewis River Hatchery Returns","8/26/2020","","1","Hatchery Returns","17080002","Lewis","8/26/2020","","45.936517","-122.616282","140.025","Mark Ferraiolo","mark.ferraiolo@pacificorp.com","360-225-4446","PCE","1"
"LRL","Lower Lochsa River Array Site","10/10/2016","","1","Instream Remote Detection System","17060303","Lochsa","10/10/2016","","46.145727","-115.596497","522.224.120.037.001","Jason Fortier","Jason.fortier@idfg.idaho.gov","208-799-5010","IDFG","1"
"LRU","Lochsa River Upper Site","12/5/2017","","1","Instream Remote Detection System","17060303","Lochsa","12/5/2017","","46.163821","-115.589663","522.224.120.037.003","Jason Fortier","Jason.fortier@idfg.idaho.gov","208-799-5010","IDFG","1"
"LRW","Lemhi River Weir","8/1/2009","","1","Instream Remote Detection System","17060204","Lemhi","8/1/2009","","44.865960","-113.624721","522.303.416.050","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LTP","Lower Twisp Acclimation Pond","3/15/2011","","1","Monitored Fish Release","17020008","Methow","3/15/2011","","48.366460","-120.139009","843.066.002","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"LTR","Lower Tucannon River","10/13/2005","","1","Instream Remote Detection System","17060107","Lower Snake-Tucannon","10/13/2005","","46.544192","-118.162901","522.100.003","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"LWC","Lower Wenas Creek","2/27/2018","","1","Instream Remote Detection System","17030001","Upper Yakima","2/27/2018","","46.705098","-120.503685","539.197.002","Zack Mays","zack_mays@yakama.com","","YINN","1"
"LWD","Lowden Diversion Dam","11/29/2007","10/24/2013","0","Instream Remote Detection System","17070102","Walla Walla","11/29/2007","10/24/2013","46.043121","-118.525822","509.051","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"LWE","Lower Wenatchee River","10/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","10/1/2009","11/1/2013","47.464950","-120.350639","754.002","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LWE","Lower Wenatchee River","10/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","11/1/2013","","47.464893","-120.350162","754.003","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"LWL","Ltl. White Salmon NFH returns","10/1/2009","","1","Hatchery Returns","17070105","Middle Columbia-Hood","10/1/2009","","45.721799","-121.640678","261.003","Rikeem Sholes","rikeem_sholes@fws.gov","504-982-5075","USFWS","1"
"LWN","Little Wenatchee River","4/1/2009","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2009","","47.834251","-120.838918","754.090.008.004","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"M3R","3R side channel Methow River","11/4/2014","10/8/2018","0","Instream Remote Detection System","17020008","Methow","11/4/2014","10/8/2018","48.434750","-120.157037","843.075","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","1"
"MAD","Mad River, Entiat River Basin","10/1/2007","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","10/1/2007","","47.736851","-120.368739","778.017.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"MAR","Marsh Cr at Lola Cr Campground","10/17/2019","","1","Instream Remote Detection System","17060205","Upper Middle Fork Salmon","10/17/2019","","44.408689","-115.179841","522.303.319.170.008","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"MBD","Mill Crk Bennington Diversion","12/8/2021","","1","Combined Dam Location","17070102","Walla Walla","12/8/2021","","46.079843","-118.254402","509.054.019","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"MC1","McNary Oregon Shore Ladder","3/7/2002","","1","Adult Fishway","17070101","Middle Columbia-Lake Wallula","3/7/2002","","45.928565","-119.296606","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"MC2","McNary Washington Shore Ladder","1/1/1994","","1","Adult Fishway","17070101","Middle Columbia-Lake Wallula","1/1/1994","","45.939935","-119.299824","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"MCD","Mill Creek Diversion Project","2/25/2005","12/8/2021","0","Combined Dam Location","17070102","Walla Walla","2/25/2005","12/8/2021","46.079843","-118.254402","509.054.019","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"MCI","Mill Creek Intake Dam","6/1/2011","2/2/2017","0","Adult Fishway","17070102","Walla Walla","6/1/2011","2/2/2017","45.990016","-118.048399","509.054.041","Brian Davis","brian_davis@fws.gov","503-975-9898","USFWS","1"
"MCJ","McNary Dam Juvenile","1/1/1986","","1","Juvenile Fish Bypass Facility","17070101","Middle Columbia-Lake Wallula","1/1/1986","","45.932293","-119.299900","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"MCL","Lower Mission Creek Instream","10/4/2011","","1","Instream Remote Detection System","17020011","Wenatchee","10/4/2011","","47.518179","-120.472629","754.017.001","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"MCX","MCNARY JUVENILE EXPERIMENTAL","2/20/1998","2/20/2003","0","Juvenile Fish Bypass Facility","17070101","Middle Columbia-Lake Wallula","2/20/1998","2/20/2003","45.932089","-119.299562","470","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"MDR","McDonald Road Bridge","9/25/2012","1/14/2018","0","Instream Remote Detection System","17070102","Walla Walla","9/25/2012","1/14/2018","46.047870","-118.554800","509.041","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"MDW","Mill Creek Division Works","12/8/2021","","1","Adult Fishway","17070102","Walla Walla","12/8/2021","","46.076705","-118.272888","509.054.017","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"MEG","Megler Cr.-Col. R. Estuary","6/27/2017","","1","Instream Remote Detection System","17080006","Lower Columbia","6/27/2017","","46.249788","-123.863942","013.000","April Silva","asilva@columbiaestuary.org","503-325-0435 x215","CREST","1"
"MEM","Eightmile Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.591924","-120.165634","843.080.017","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"MEW","Early Winters Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.597458","-120.442708","843.113.001","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"MHB","Habermehl side channel Methow","11/6/2014","10/4/2016","0","Instream Remote Detection System","17020008","Methow","11/6/2014","10/4/2016","48.404351","-120.135781","843.070","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","1"
"MHP","Merwin Hydroeletric Project","10/19/2016","","1","Adult Fishway","17080002","Lewis","10/19/2016","","45.956473","-122.555457","140.031","Mark Ferraiolo","mark.ferraiolo@pacificorp.com","360-225-4446","PCE","1"
"MIN","Mine Reach of Wind River, WA","9/12/2019","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","9/12/2019","","45.922676","-121.945794","251.036","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","1"
"MIS","Mission Creek","12/23/2010","4/9/2019","0","Instream Remote Detection System","17060306","Clearwater","12/23/2010","4/9/2019","46.367062","-116.735597","522.224.019.016.001","","","","","1"
"MJ1","Middle Fork John Day Array","11/6/2013","","1","Instream Remote Detection System","17070203","Middle Fork John Day","11/6/2013","","44.741933","-118.851057","351.298.052.068","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"MJ2","Middle Fork John Day Ritter","1/31/2019","","1","Instream Remote Detection System","17070203","Middle Fork John Day","1/31/2019","","44.890882","-119.142501","351.298.052.024","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"MR1","Minam River at river km 0.5","2/20/2020","","1","Instream Remote Detection System","17060105","Wallowa","2/20/2020","","45.619623","-117.726570","522.271.131.016.001","Shane Vatland","shanev@nezperce.org","541-432-2508","NPT","1"
"MRB","Methow River Basin","9/15/2004","1/1/2009","0","Instream Remote Detection System","17020008","Methow","9/15/2004","1/1/2009","48.314800","-120.088300","","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","1"
"MRC","Methow River at Carlton","9/21/2015","","1","Instream Remote Detection System","17020008","Methow","9/21/2015","","48.246996","-120.118464","843.045","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"MRT","Methow River at Twisp","9/28/2009","8/25/2016","0","Instream Remote Detection System","17020008","Methow","9/28/2009","8/25/2016","48.374112","-120.121573","843.067","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","1"
"MRW","Methow River at Winthrop","9/21/2009","","1","Instream Remote Detection System","17020008","Methow","9/21/2009","","48.487797","-120.228681","843.085","David Grundy","david.grundy@dfw.wa.gov","509-997-0048","WDFW","1"
"MSB","Stansberry side channel Methow","8/13/2015","8/9/2017","0","Instream Remote Detection System","17020008","Methow","8/13/2015","8/9/2017","48.532580","-120.322910","843.098","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","1"
"MSC","Methow River Side Channels","1/1/2009","8/12/2010","0","Instream Remote Detection System","17020008","Methow","1/1/2009","8/12/2010","48.405633","-120.136004","843.071","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","1"
"MSH","Methow Fish Hatchery Outfall","4/15/2011","","1","Instream Remote Detection System","17020008","Methow","4/15/2011","","48.476747","-120.204967","843.085","Charles Snow","Charles.Snow@dfw.wa.gov","509-997-0048","WDFW","1"
"MTD","Mill Creek at The Dalles","4/22/2015","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/22/2015","","45.595413","-121.204525","304.003","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"MTP","Twisp Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.380412","-120.244062","843.066.013","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"MTR","Middle Tucannon River","9/23/2011","","1","Instream Remote Detection System","17060107","Lower Snake-Tucannon","9/23/2011","","46.505239","-118.016274","522.100.019","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"MVF","Moving Falls Fish Ladder","7/29/2015","","1","Adult Fishway","17070105","Middle Columbia-Hood","7/29/2015","","45.572479","-121.657187","273.020.004","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","1"
"MVP","Mid-Valley Acclimation Pond","3/23/2012","","1","Monitored Fish Release","17020008","Methow","3/23/2012","","48.504212","-120.256140","843.088","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","1"
"MWC","Maxwell Canal","3/1/2007","","1","Instream Remote Detection System","17070103","Umatilla","3/1/2007","","45.799487","-119.341847","465.024","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"MWE","Middle Wenatchee River","3/28/2008","10/14/2013","0","Instream Remote Detection System","17020011","Wenatchee","3/28/2008","10/14/2013","47.623026","-120.726203","754.050","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"MWF","Whitefish SC in Methow River","12/17/2013","10/8/2018","0","Instream Remote Detection System","17020008","Methow","12/17/2013","10/8/2018","48.446048","-120.160572","843.076","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","1"
"NAL","Lower Nason Creek","4/1/2008","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2008","","47.802494","-120.713574","754.089.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"NAS","Nason Creek Releases","4/13/2015","5/14/2015","0","Monitored Fish Release","17020011","Wenatchee","4/13/2015","5/14/2015","47.767420","-120.800302","754.089.013","Eric Lauver","elauver@gcpud.org","509-797-5175","GPUD","1"
"NAU","Upper Nason Creek","10/1/2007","","1","Instream Remote Detection System","17020011","Wenatchee","10/1/2007","","47.785981","-120.848546","754.089.019","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"NBA","Nursery Bridge Adult","10/3/2003","","1","Instream Remote Detection System","17070102","Walla Walla","10/3/2003","","45.945399","-118.384451","509.072","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"NES","Nespelem River Instream Array","10/8/2018","","1","Instream Remote Detection System","17020005","Chief Joseph","10/8/2018","","48.129295","-119.033321","928.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"NFS","North Fork Salmon River","11/18/2015","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","11/18/2015","9/23/2021","45.408645","-113.992002","522.303.381.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"NFS","North Fork Salmon River","11/18/2015","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","9/23/2021","","45.417558","-113.994089","522.303.381.002","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"NFT","North Fork Teanaway River","1/13/2012","11/30/2015","0","Instream Remote Detection System","17030001","Upper Yakima","1/13/2012","11/30/2015","47.252880","-120.879130","539.284.017.001","Gabriel Temple","gabriel.temple@dfw.wa.gov","509-933-6080","WDFW","1"
"NFW","North Fork Walla Walla River","5/18/2012","4/19/2013","0","Instream Remote Detection System","17070102","Walla Walla","5/18/2012","4/19/2013","45.898661","-118.304099","509.081.001","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"NMC","Ninemile Creek Instream Array","2/12/2011","","1","Instream Remote Detection System","17020006","Okanogan","2/12/2011","","48.970542","-119.418187","858.134.001","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"NSB","N Santiam at Upper Bennett Dam","7/10/2014","5/31/2019","0","Adult Fishway","17090005","North Santiam","7/10/2014","5/31/2019","44.787677","-122.742281","163.174.019.030","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"NSM","Minto Dam Ladder N Santiam R","5/26/2016","4/26/2019","0","Adult Fishway","17090005","North Santiam","5/26/2016","4/26/2019","44.757781","-122.360141","163.174.019.069","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"NSS","North Santiam at Stayton Canal","7/10/2014","5/31/2019","0","Instream Remote Detection System","17090005","North Santiam","7/10/2014","5/31/2019","44.796239","-122.780642","163.174.019.027","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"OBF","Omak Creek below Mission Falls","2/1/2016","","1","Instream Remote Detection System","17020006","Okanogan","2/1/2016","","48.369997","-119.442154","858.052.011","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"OKC","Okanagan Channel at VDS-3","11/6/2009","","1","Instream Remote Detection System","17020006","Okanogan","11/6/2009","","49.114113","-119.565753","858.149","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKI","Inkaneep Creek ","4/27/2015","","1","Instream Remote Detection System","17020006","Okanogan","4/27/2015","","49.078005","-119.502007","858.139.001","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKL","Lower Okanogan Instream Array","3/15/2013","","1","Instream Remote Detection System","17020006","Okanogan","3/15/2013","","48.268710","-119.728135","858.025","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"OKM","McIntyre Dam","7/8/2019","","1","Instream Remote Detection System","17020006","Okanogan","7/8/2019","","49.256852","-119.528255","858.166","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKP","Penticton Channel PIT Array","11/29/2017","","1","Instream Remote Detection System","17020006","Okanogan","11/29/2017","","49.485154","-119.605904","858.196","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKS","Shingle Creek","7/29/2015","","1","Instream Remote Detection System","17020006","Okanogan","7/29/2015","","49.479191","-119.607555","858.195.001","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKV","Vasuex Creek, BC, Canada","3/23/2018","","1","Instream Remote Detection System","17020006","Okanogan","3/23/2018","","49.244904","-119.528391","858.163.001","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OKW","Shuttleworth Creek","7/30/2015","","1","Instream Remote Detection System","17020006","Okanogan","7/30/2015","","49.338172","-119.575719","858.175.001","Skyeler Folks","SFolks@syilx.org","250-707-0095 x302","ONA","1"
"OMF","Omak Creek above Mission Falls","3/3/2015","","1","Instream Remote Detection System","17020006","Okanogan","3/3/2015","","48.370177","-119.434080","858.052.012","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"OMH","Omak Creek Haley Creek Road","3/17/2021","","1","Instream Remote Detection System","17020006","Okanogan","3/17/2021","","48.351625","-119.335753","858.052.020","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"OMK","Omak Creek Instream Array","1/1/2006","","1","Instream Remote Detection System","17020006","Okanogan","1/1/2006","","48.405363","-119.501430","858.052.000","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","1"
"OMP","Omak Acclimation Pond","4/15/2015","","1","Monitored Fish Release","17020006","Okanogan","4/15/2015","","48.405630","-119.498926","858.052","Andrea Pearl","andrea.pearl@colvilletribes.com","509-422-7437","CCT","1"
"ONC","Onion Creek Upper Columbia","5/5/2015","","1","Instream Remote Detection System","17020001","Franklin D. Roosevelt Lake","5/5/2015","","48.870808","-117.843906","1171.001","Charles Lee","charles.lee@dfw.wa.gov","509-892-1001 x303","WDFW","1"
"ORB","Oasis Road Bridge","4/15/2005","5/4/2015","0","Instream Remote Detection System","17070102","Walla Walla","4/15/2005","5/4/2015","46.072797","-118.816734","509.010","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"PAT","Pattit Creek Instream Site","11/17/2016","","1","Instream Remote Detection System","17070102","Walla Walla","11/17/2016","","46.327536","-117.974028","509.035.101.001","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","1"
"PCA","Panther Creek Array","7/27/2017","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","7/27/2017","","45.295253","-114.358101","522.303.338.005","Lytle Denny","ldenny@sbtribes.com","208-239-4560","SHOBAN","1"
"PCM","Pine Creek Mouth, Potlatch R.","10/1/2015","","1","Instream Remote Detection System","17060306","Clearwater","10/1/2015","","46.630673","-116.596836","522.224.024.028.001","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","1"
"PD1","Top of Chelan PUD side channel","4/3/2012","6/14/2013","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/3/2012","6/14/2013","47.669110","-120.284340","778.005","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"PD2","Bot of Chelan PUD side channel","4/3/2012","6/6/2013","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/3/2012","6/6/2013","47.667974","-120.281570","778.005","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","1"
"PD6","Columbia River Estuary rkm 68","4/29/2022","","1","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","4/29/2022","","46.152333","-123.385389","068","Kara Jaenecke","kara.jaenecke@noaa.gov","585-406-6278","NMFS","1"
"PD7","Columbia River Estuary rkm 70","8/8/2011","","1","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","8/8/2011","","46.146610","-123.379867","070","Kara Jaenecke","kara.jaenecke@noaa.gov","585-406-6278","NMFS","1"
"PEL","Pelton Dam Ladder - Deschutes","3/30/2016","","1","Monitored Fish Release","17070306","Lower Deschutes","3/30/2016","","44.725865","-121.247167","328.161","Ryan Moon","roundbuttehatchery@odfw.oregon.gov","541-325-5327","ODFW","1"
"PES","Peshastin Creek","5/1/2007","","1","Instream Remote Detection System","17020011","Wenatchee","5/1/2007","","47.548491","-120.609887","754.029.003","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"PEU","Upper Peshastin Creek","3/22/2016","","1","Instream Remote Detection System","17020011","Wenatchee","3/22/2016","","47.447973","-120.657430","754.029.017","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"PRA","Priest Rapids Adult","12/6/2002","","1","Adult Fishway","17020016","Upper Columbia-Priest Rapids","12/6/2002","","46.644339","-119.910442","639","Rod O'Connor","roconnor@gcpud.org","","GPUD","1"
"PRH","Priest Rapids Hatchery Outfall","5/6/2012","","1","Instream Remote Detection System","17020016","Upper Columbia-Priest Rapids","5/6/2012","","46.631531","-119.872923","635","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","1"
"PRJ","Prosser Dam (Chandler Dvrsn.)","4/25/1989","7/3/2004","0","Juvenile Fish Bypass Facility","17030003","Lower Yakima","4/25/1989","7/3/2004","46.215366","-119.757556","539.076","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"PRO","Prosser Diversion Dam Combined","10/19/2004","","1","Combined Dam Location","17030003","Lower Yakima","10/19/2004","","46.212539","-119.772663","539.076","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"PRV","Walla Walla R at Pierce RV Prk","9/25/2012","4/8/2019","0","Instream Remote Detection System","17070102","Walla Walla","9/25/2012","4/8/2019","46.068014","-118.825796","509.009","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","1"
"RBF","Round Butte Fish Xfer Facility","3/1/2009","","1","Instream Juvenile Fish Trap","17070301","Upper Deschutes","3/1/2009","","44.602185","-121.280384","328.177","Rich Madden","rich.madden@pgn.com","541-325-5364","PGE","1"
"RCJ","Rock Creek John Day Basin","9/30/2014","","1","Instream Remote Detection System","17070204","Lower John Day","9/30/2014","","45.575590","-120.379880","351.034.002","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","1"
"RCL","Rock Creek (WA) at rkm 5","11/1/2009","","1","Instream Remote Detection System","17070101","Middle Columbia-Lake Wallula","11/1/2009","","45.737850","-120.432964","368.005","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","1"
"RCS","Rock Creek (WA) at rkm 14","11/1/2009","","1","Instream Remote Detection System","17070101","Middle Columbia-Lake Wallula","11/1/2009","","45.795091","-120.464524","368.014","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","1"
"RCT","Roaring Creek Temporary Array","3/1/2011","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/1/2011","","47.689304","-120.321980","778.010.001","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"RCX","Rattlesnake Creek Flat Plates","8/21/2001","6/2/2007","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","8/21/2001","6/2/2007","45.797289","-121.482125","271.012.000","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","1"
"RFL","Redfish Lake Creek","4/1/2018","","1","Instream Remote Detection System","17060201","Upper Salmon","4/1/2018","","44.164727","-114.905043","522.303.615.001","Eric Johnson","eric.johnson@idfg.idaho.gov","208-939-6713","IDFG","1"
"RFP","Rolfing Acclimation Pond","1/1/2004","","1","Monitored Fish Release","17020011","Wenatchee","1/1/2004","","47.785040","-120.878984","754.089.021","Cory Kamphaus","kamc@yakamafish-nsn.gov","509-548-9413","YINN","1"
"RIA","Rock Island Adult","2/1/2003","","1","Adult Fishway","17020010","Upper Columbia-Entiat","2/1/2003","","47.343278","-120.093300","730","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","1"
"ROZ","Roza Diversion Dam (Combined)","3/26/1992","","1","Combined Dam Location","17030001","Upper Yakima","3/26/1992","","46.749064","-120.465766","539.206","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"RPJ","Rapid River Hatchery Pond","4/19/1999","","1","Monitored Fish Release","17060210","Little Salmon","4/19/1999","","45.353681","-116.394575","522.303.140.007.006","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
"RRF","Rocky Reach Fishway","3/1/2006","","1","Adult Fishway","17020010","Upper Columbia-Entiat","3/1/2006","","47.531519","-120.300387","763","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","1"
"RRJ","Rocky Reach Dam Juvenile","4/10/1996","","1","Juvenile Fish Bypass Facility","17020010","Upper Columbia-Entiat","4/10/1996","","47.531967","-120.299618","763","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","1"
"RRT","Red River Satellite Facility","1/5/2012","5/27/2015","0","Hatchery Returns","17060305","South Fork Clearwater","1/5/2012","5/27/2015","45.711179","-115.347147","522.224.120.101.027","Matt Belnap","Matt.Belnap@idfg.idaho.gov","208-854-8902","IDFG","1"
"RSB","Roosevelt Street Bridge","6/30/2010","6/6/2011","0","Instream Remote Detection System","17070102","Walla Walla","6/30/2010","6/6/2011","46.069076","-118.311976","509.054.015","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","1"
"RSH","Ringold Springs Hatch. Outfall","1/1/2016","","1","Instream Remote Detection System","17020016","Upper Columbia-Priest Rapids","1/1/2016","","46.510622","-119.260909","567","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","1"
"RVP","Riverside Acclimation Pond","4/15/2015","","1","Monitored Fish Release","17020006","Okanogan","4/15/2015","","48.495093","-119.489821","858.064","Andrea Pearl","andrea.pearl@colvilletribes.com","509-422-7437","CCT","1"
"RZF","Roza Dam Fishway","9/1/2007","3/22/2011","0","Adult Fishway","17030001","Upper Yakima","9/1/2007","3/22/2011","46.748820","-120.465031","539.206","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","1"
